date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,result,home_form,away_form,home_elo,away_elo,elo_difference,goal_difference,tournament_weight
2016-01-03,India,Afghanistan,2.0,1.0,SAFF Cup,Thiruvananthapuram,India,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,2.0
2016-01-06,Rwanda,Cameroon,1.0,1.0,Friendly,Gisenyi,Rwanda,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,1.0
2016-01-06,Sweden,Estonia,1.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,True,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,1.0
2016-01-08,Bangladesh,Sri Lanka,4.0,2.0,Friendly,Jessore,Bangladesh,False,,H,0.5,0.5,1000.0,1000.0,0.0,2.0,1.0
2016-01-08,Trinidad and Tobago,Haiti,0.0,1.0,Copa América qualification,Panama City,Panama,True,,A,0.5,0.5,1000.0,1000.0,0.0,-1.0,2.0
2016-01-08,Panama,Cuba,4.0,0.0,Copa América qualification,Panama City,Panama,False,,H,0.5,0.5,1000.0,1000.0,0.0,4.0,2.0
2016-01-10,Rwanda,DR Congo,1.0,0.0,Friendly,Gisenyi,Rwanda,False,,H,0.06666666666666667,0.5,1000.0,1000.0,0.0,1.0,1.0
2016-01-10,Sweden,Finland,3.0,0.0,Friendly,Abu Dhabi,United Arab Emirates,True,,H,0.06666666666666667,0.5,1000.0,1000.0,0.0,3.0,1.0
2016-01-11,Maldives,Cambodia,3.0,2.0,Friendly,Jessore,Bangladesh,True,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,1.0
2016-01-13,Finland,Iceland,0.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,True,,A,0.0,0.5,996.0,1000.0,-4.0,-1.0,1.0
2016-01-13,Nepal,Sri Lanka,1.0,0.0,Friendly,Dhaka,Bangladesh,True,,H,0.5,0.0,1000.0,996.0,4.0,1.0,1.0
2016-01-13,Uganda,Cameroon,0.0,0.0,Friendly,Njeru,Uganda,False,,D,0.5,0.06666666666666667,1000.0,1000.0,0.0,0.0,1.0
2016-01-15,Bangladesh,Nepal,0.0,0.0,Friendly,Dhaka,Bangladesh,False,,D,0.2,0.2,1004.0,1003.9539503327109,0.05,0.0,1.0
2016-01-16,United Arab Emirates,Iceland,2.0,1.0,Friendly,Dubai,United Arab Emirates,False,,H,0.5,0.2,1000.0,1003.9539503327109,-3.95,1.0,1.0
2016-01-19,Maldives,Nepal,1.0,4.0,Friendly,Dhaka,Bangladesh,True,,A,0.2,0.26666666666666666,1004.0,1003.954480499095,0.05,-3.0,1.0
2016-01-27,Egypt,Jordan,0.0,1.0,Friendly,Aswan,Egypt,False,,A,0.5,0.5,1000.0,1000.0,0.0,-1.0,1.0
