team,points
Argentina,1876.12
Spain,1874.71
France,1870.70
England,1827.05
Portugal,1766.18
Brazil,1765.86
Morocco,1755.10
Netherlands,1753.57
Belgium,1742.24
Germany,1735.77
Croatia,1714.87
Italy,1704.73
Colombia,1698.35
Mexico,1687.48
Senegal,1686.41
Uruguay,1673.07
United States,1671.23
Japan,1661.58
Switzerland,1650.06
Iran,1619.58
Denmark,1619.47
Türkiye,1605.73
Ecuador,1598.52
Austria,1597.40
South Korea,1591.63
Nigeria,1586.69
Australia,1579.34
Algeria,1571.03
Egypt,1562.37
Canada,1559.48
Norway,1557.44
Ukraine,1549.29
Ivory Coast,1540.87
Panama,1539.16
Russia,1529.60
Poland,1526.18
Wales,1516.95
Sweden,1509.79
Hungary,1506.39
Czechia,1505.74
Paraguay,1505.35
Scotland,1503.34
Serbia,1502.13
Cameroon,1481.24
Tunisia,1476.41
Congo DR,1474.43
Slovakia,1473.66
Greece,1473.19
Venezuela,1464.30
Uzbekistan,1458.73
Chile,1458.20
Peru,1457.69
Costa Rica,1457.00
Romania,1455.89
Mali,1455.59
Iraq,1451.15
Qatar,1450.31
Republic of Ireland,1441.10
Slovenia,1441.09
South Africa,1428.38
Saudi Arabia,1421.54
Burkina Faso,1406.99
Jordan,1387.74
Bosnia and Herzegovina,1387.22
Honduras,1378.97
Albania,1376.03
Cape Verde,1371.11
United Arab Emirates,1370.47
North Macedonia,1369.16
Northern Ireland,1365.30
Jamaica,1357.84
Georgia,1355.26
Ghana,1346.88
Iceland,1343.92
Finland,1341.92
Israel,1333.90
Bolivia,1326.00
Kosovo,1319.12
Oman,1306.90
Montenegro,1301.98
Guinea,1295.60
Curaçao,1294.77
Haiti,1293.10
Syria,1283.05
New Zealand,1275.58
Gabon,1272.51
Bulgaria,1271.68
Angola,1265.58
Uganda,1264.09
Benin,1258.22
Zambia,1255.82
China PR,1254.81
Bahrain,1254.41
Thailand,1250.80
Palestine,1243.71
Belarus,1242.88
Guatemala,1238.74
Luxembourg,1232.82
Vietnam,1225.68
El Salvador,1225.34
Tajikistan,1224.19
Trinidad and Tobago,1219.59
Mozambique,1218.62
Madagascar,1202.69
Equatorial Guinea,1195.20
Kyrgyzstan,1192.16
Armenia,1189.63
Comoros,1187.91
Kenya,1185.08
Libya,1182.08
Kazakhstan,1180.78
Tanzania,1180.27
Mauritania,1176.68
Niger,1175.33
Lebanon,1172.22
Gambia,1159.64
Sudan,1157.22
Indonesia,1157.14
Sierra Leone,1153.31
North Korea,1151.05
Namibia,1148.84
Togo,1146.70
Faroe Islands,1136.59
Cyprus,1133.25
Suriname,1132.43
Azerbaijan,1.73
Estonia,1130.64
Rwanda,1126.62
Malawi,1122.05
Zimbabwe,1119.78
Nicaragua,1114.63
Guinea-Bissau,1108.38
Kuwait,1106.47
Congo,1105.96
Philippines,1100.95
Malaysia,1086.22
Latvia,1085.66
India,1084.93
Central African Republic,1080.82
Turkmenistan,1078.65
Burundi,1078.01
Ethiopia,1077.52
Dominican Republic,1076.50
Liberia,1074.69
Yemen,1065.24
Lesotho,1064.29
Botswana,1063.63
Singapore,1057.95
Lithuania,1056.85
Guyana,1049.32
New Caledonia,1036.95
St Kitts and Nevis,1036.33
Solomon Islands,1031.89
Puerto Rico,1024.30
Fiji,1024.17
Hong Kong,1024.16
Tahiti,1019.04
Myanmar,1010.91
Moldova,1008.24
Vanuatu,1002.53
Malta,992.79
Antigua and Barbuda,986.58
Grenada,981.82
Cuba,981.42
Eswatini,979.01
St Lucia,976.71
Bermuda,975.05
Papua New Guinea,974.90
Afghanistan,971.20
South Sudan,970.94
St Vincent and the Grenadines,968.27
Andorra,946.43
Maldives,943.92
Taiwan,923.78
Cambodia,922.32
Montserrat,916.75
Nepal,914.54
Mauritius,911.49
Barbados,909.89
Belize,907.00
Bangladesh,902.93
Dominica,897.69
Chad,896.85
Eritrea,887.06
Laos,885.03
Cook Islands,877.53
Sri Lanka,876.86
Samoa,876.41
Aruba,875.61
Mongolia,874.47
American Samoa,871.61
Bhutan,870.81
Macau,858.03
Brunei,857.73
São Tomé and Príncipe,855.44
Djibouti,853.58
Cayman Islands,850.06
Somalia,839.17
Pakistan,837.15
Tonga,835.64
Timor-Leste,831.00
Gibraltar,820.26
Guam,819.54
Seychelles,804.16
Turks and Caicos Islands,803.98
Liechtenstein,797.70
Bahamas,786.82
US Virgin Islands,779.76
British Virgin Islands,777.41
Anguilla,760.25
San Marino,721.20
