team,reached_R16%,reached_QF%,reached_SF%,third_place%,reached_Final%,champion%
France,85.7,53.4,39.0,9.0,26.6,18.4
Spain,83.6,47.8,38.2,13.2,20.2,14.6
Argentina,86.5,68.5,54.1,13.6,29.5,13.8
Germany,82.2,38.7,22.1,5.6,11.8,6.5
Morocco,48.4,32.3,14.9,3.5,9.7,6.4
Portugal,67.4,33.7,23.2,8.6,8.9,5.5
England,81.3,41.4,20.1,3.3,12.7,5.0
Brazil,58.4,40.4,24.0,4.2,13.5,4.6
Japan,41.6,29.7,18.3,3.3,10.5,4.0
Netherlands,51.5,29.2,11.6,3.2,6.5,3.8
Mexico,76.9,44.7,19.4,3.5,10.6,3.8
Belgium,58.4,29.4,8.6,3.1,2.6,1.5
United States,81.9,44.5,11.5,4.1,3.1,1.4
Croatia,32.6,14.1,8.9,3.2,2.8,1.3
Canada,47.6,20.9,5.9,1.5,2.7,1.3
Algeria,52.8,34.8,11.2,2.5,4.3,1.2
Colombia,79.3,34.6,10.6,2.2,4.0,1.2
Senegal,41.6,21.4,6.7,2.6,2.2,1.1
Ivory Coast,62.5,18.9,9.6,1.5,4.4,1.0
Australia,59.7,15.5,9.2,1.9,2.9,0.7
South Africa,52.4,17.6,3.8,0.8,1.3,0.5
Norway,37.5,10.9,5.3,0.9,2.3,0.5
Egypt,40.3,10.4,5.9,1.4,1.9,0.4
Switzerland,47.2,25.9,6.2,1.0,1.6,0.4
Austria,16.4,4.5,2.3,0.7,0.6,0.2
Ecuador,23.1,8.8,2.1,0.4,0.7,0.2
Sweden,14.3,3.8,1.5,0.3,0.5,0.2
DR Congo,18.7,5.0,1.3,0.1,0.5,0.2
Paraguay,17.8,4.1,1.1,0.2,0.3,0.1
Cape Verde,13.6,5.6,2.1,0.3,0.3,0.1
Ghana,20.7,4.8,0.8,0.1,0.2,0.0
Bosnia and Herzegovina,18.1,4.8,0.6,0.1,0.1,0.0
