group,home_team,away_team,home_elo,away_elo,elo_difference,neutral,tournament_weight,home_form,away_form,home_ranking,away_ranking,ranking_difference,home_goals,away_goals,predicted_result,home_win%,draw%,away_win%
A,Mexico,South Africa,1177.7153903214148,1101.2335810816269,76.48,True,4,0.7333333333333333,0.3333333333333333,1687.48,1428.38,259.0999999999999,1,0,H,74.5,14.9,10.6
A,Mexico,Czech Republic,1177.7153903214148,1065.6331661261224,112.08,True,4,0.7333333333333333,1.0,1687.48,,,1,0,H,65.0,20.4,14.6
A,Mexico,South Korea,1177.7153903214148,1180.4282347294425,-2.71,True,4,0.7333333333333333,0.6,1687.48,1591.63,95.84999999999991,0,1,A,23.1,22.5,54.4
A,South Africa,Czech Republic,1101.2335810816269,1065.6331661261224,35.6,True,4,0.3333333333333333,1.0,1428.38,,,2,1,H,56.4,21.9,21.7
A,South Africa,South Korea,1101.2335810816269,1180.4282347294425,-79.19,True,4,0.3333333333333333,0.6,1428.38,1591.63,-163.25,0,1,A,10.2,15.5,74.3
A,Czech Republic,South Korea,1065.6331661261224,1180.4282347294425,-114.8,True,4,1.0,0.6,,1591.63,,0,1,A,7.1,10.3,82.6
B,Canada,Bosnia and Herzegovina,1134.6242586225756,986.254467062137,148.37,True,4,0.6,0.7333333333333333,1559.48,1387.22,172.26,1,0,H,60.9,26.9,12.2
B,Canada,Qatar,1134.6242586225756,1076.822940059997,57.8,True,4,0.6,0.06666666666666667,1559.48,1450.31,109.17000000000007,1,1,D,20.3,65.6,14.1
B,Canada,Switzerland,1134.6242586225756,1140.8407258427385,-6.22,True,4,0.6,0.5333333333333333,1559.48,1650.06,-90.57999999999993,0,1,A,9.3,11.3,79.4
B,Bosnia and Herzegovina,Qatar,986.254467062137,1076.822940059997,-90.57,True,4,0.7333333333333333,0.06666666666666667,1387.22,1450.31,-63.08999999999992,1,1,D,17.6,58.2,24.2
B,Bosnia and Herzegovina,Switzerland,986.254467062137,1140.8407258427385,-154.59,True,4,0.7333333333333333,0.5333333333333333,1387.22,1650.06,-262.8399999999999,1,2,A,5.3,16.1,78.6
B,Qatar,Switzerland,1076.822940059997,1140.8407258427385,-64.02,True,4,0.06666666666666667,0.5333333333333333,1450.31,1650.06,-199.75,0,1,A,6.1,19.2,74.7
C,Brazil,Morocco,1191.3967397207186,1262.7186221084748,-71.32,True,4,0.6666666666666666,0.8666666666666667,1765.86,1755.1,10.759999999999991,1,2,A,18.1,14.5,67.4
C,Brazil,Haiti,1191.3967397207186,1076.893958420185,114.5,True,4,0.6666666666666666,0.6666666666666666,1765.86,1293.1,472.76,1,0,H,94.4,2.6,3.0
C,Brazil,Scotland,1191.3967397207186,1071.1692149669311,120.23,True,4,0.6666666666666666,0.4,1765.86,1503.34,262.52,1,0,H,81.5,10.4,8.1
C,Morocco,Haiti,1262.7186221084748,1076.893958420185,185.82,True,4,0.8666666666666667,0.6666666666666666,1755.1,1293.1,462.0,2,0,H,93.3,4.6,2.1
C,Morocco,Scotland,1262.7186221084748,1071.1692149669311,191.55,True,4,0.8666666666666667,0.4,1755.1,1503.34,251.76,2,0,H,85.8,10.8,3.4
C,Haiti,Scotland,1076.893958420185,1071.1692149669311,5.72,True,4,0.6666666666666666,0.4,1293.1,1503.34,-210.24,0,1,A,6.1,9.4,84.5
D,United States,Paraguay,1152.0130299832845,1019.7968340651088,132.22,True,4,0.6,0.4,1671.23,1505.35,165.8800000000001,1,1,D,23.4,62.4,14.2
D,United States,Australia,1152.0130299832845,1175.9895977723609,-23.98,True,4,0.6,0.4,1671.23,1579.34,91.8900000000001,0,1,A,20.0,17.9,62.1
